Site ID,Latitude,Longitude,LC
CA-Gro,48.2167,-82.1556,MF
CA-Oas,53.6289,-106.1978,DBF
CA-Obs,53.9872,-105.1178,ENF
CA-TPD,42.6353,-80.5577,DBF
US-Elm,25.5519,-80.7826,WET
US-Fwf,35.4454,-111.7718,GRA
US-Kon,39.0824,-96.5603,GRA
US-Mo1,39.2298,-92.1167,CRO
US-Ro1,44.7143,-93.0898,CRO
US-SdH,42.0693,-101.4072,DBF
US-Slt,39.9138,-74.596,DBF
US-Syv,46.242,-89.3477,MF
US-WCr,45.8059,-90.0799,DBF
US-xAE,35.4106,-99.0588,GRA
US-xCL,33.4012,-97.57,GRA
US-xGR,35.689,-83.5019,DBF
US-xHA,42.5369,-72.1727,DBF
US-xHE,63.8757,-149.2133,OSH
US-xKZ,39.1008,-96.5631,GRA
US-xML,37.3783,-80.5248,DBF
US-xRN,35.9641,-84.2826,DBF
US-xSC,38.8929,-78.1395,DBF
US-xSR,31.9107,-110.8355,OSH
US-xST,45.5089,-89.5864,DBF
US-xTR,45.4937,-89.5857,DBF
